[DEBUG][2018-06-18 09:17:09,111][test.py][get_page_source][24][url请求失败]
[DEBUG][2018-06-18 09:17:22,975][test.py][get_page_source][24][url格式有误]
[DEBUG][2018-06-18 09:22:17,258][test.py][get_page_source][24][url格式有误]
[DEBUG][2018-06-18 09:29:11,114][test.py][get_page_urls][43][9930]
[DEBUG][2018-06-18 09:29:11,114][test.py][get_page_urls][44][<class 'str'>]
[DEBUG][2018-06-18 09:29:20,653][test.py][get_page_urls][43][9929]
[DEBUG][2018-06-18 09:29:20,653][test.py][get_page_urls][44][<class 'str'>]
[DEBUG][2018-06-18 09:29:37,750][test.py][get_page_urls][43][9929]
[DEBUG][2018-06-18 09:29:37,750][test.py][get_page_urls][44][<class 'str'>]
[DEBUG][2018-06-18 09:29:55,674][test.py][get_page_urls][43][9929]
[DEBUG][2018-06-18 09:29:55,674][test.py][get_page_urls][44][<class 'int'>]
[DEBUG][2018-06-18 09:31:52,783][test.py][get_page_urls][43][166]
[DEBUG][2018-06-18 09:32:17,437][test.py][get_page_urls][43][166]
[DEBUG][2018-06-18 09:57:59,792][test.py][get_page_urls][47][166]
[DEBUG][2018-06-18 10:21:40,402][get_zhilian.py][get_page_urls][48][166]
[DEBUG][2018-06-18 10:21:40,402][get_zhilian.py][<module>][134][这里是第 0页的url    https://sou.zhaopin.com/jobs/searchresult.ashx?jl=%E5%8C%97%E4%BA%AC&kw=python&isadv=0&sg=39e470246d7e4727944af8c5e9417893&p=1]
[DEBUG][2018-06-18 10:21:40,951][get_zhilian.py][<module>][138][这里是第 0页的第0条url    http://jobs.zhaopin.com/CZ735252640J00178533801.htm]
[DEBUG][2018-06-18 10:22:56,507][get_zhilian.py][get_page_urls][48][166]
[DEBUG][2018-06-18 10:22:56,508][get_zhilian.py][<module>][134][这里是第 0页的url    https://sou.zhaopin.com/jobs/searchresult.ashx?jl=%E5%8C%97%E4%BA%AC&kw=python&isadv=0&sg=39e470246d7e4727944af8c5e9417893&p=1]
[DEBUG][2018-06-18 10:22:57,051][get_zhilian.py][<module>][138][这里是第 0页的第0条url    http://jobs.zhaopin.com/CC532331623J00047872612.htm]
[DEBUG][2018-06-18 10:24:43,528][get_zhilian.py][get_page_urls][48][166]
[DEBUG][2018-06-18 10:24:43,528][get_zhilian.py][<module>][134][这里是第 0页的url    https://sou.zhaopin.com/jobs/searchresult.ashx?jl=%E5%8C%97%E4%BA%AC&kw=python&isadv=0&sg=39e470246d7e4727944af8c5e9417893&p=1]
[DEBUG][2018-06-18 10:24:44,061][get_zhilian.py][<module>][138][这里是第 0页的第0条url    http://jobs.zhaopin.com/000427532250955.htm]
[DEBUG][2018-06-18 10:28:55,443][get_zhilian.py][get_page_urls][44][166]
[DEBUG][2018-06-18 10:28:55,443][get_zhilian.py][<module>][123][这里是第 0页的url    https://sou.zhaopin.com/jobs/searchresult.ashx?jl=%E5%8C%97%E4%BA%AC&kw=python&isadv=0&sg=39e470246d7e4727944af8c5e9417893&p=1]
[DEBUG][2018-06-18 10:28:55,933][get_zhilian.py][<module>][127][这里是第 0页的第0条url    http://jobs.zhaopin.com/CC532331623J00047872612.htm]
[DEBUG][2018-06-18 10:29:41,953][get_zhilian.py][get_page_urls][44][166]
[DEBUG][2018-06-18 10:29:41,954][get_zhilian.py][<module>][123][这里是第 0页的url    https://sou.zhaopin.com/jobs/searchresult.ashx?jl=%E5%8C%97%E4%BA%AC&kw=python&isadv=0&sg=39e470246d7e4727944af8c5e9417893&p=1]
[DEBUG][2018-06-18 10:29:42,479][get_zhilian.py][<module>][127][这里是第 0页的第0条url    http://jobs.zhaopin.com/000427532250955.htm]
[DEBUG][2018-06-18 10:29:42,645][get_zhilian.py][<module>][130][这里是第 0页的第0条url    http://jobs.zhaopin.com/000427532250955.htm该url没有获取到数据]
[DEBUG][2018-06-18 10:29:42,645][get_zhilian.py][<module>][127][这里是第 0页的第1条url    http://jobs.zhaopin.com/120930180250095.htm]
[DEBUG][2018-06-18 10:29:42,795][get_zhilian.py][<module>][130][这里是第 0页的第1条url    http://jobs.zhaopin.com/120930180250095.htm该url没有获取到数据]
[DEBUG][2018-06-18 10:29:42,795][get_zhilian.py][<module>][127][这里是第 0页的第2条url    http://jobs.zhaopin.com/CZ735252640J00178572001.htm]
[DEBUG][2018-06-18 10:29:42,952][get_zhilian.py][<module>][130][这里是第 0页的第2条url    http://jobs.zhaopin.com/CZ735252640J00178572001.htm该url没有获取到数据]
[DEBUG][2018-06-18 10:29:42,953][get_zhilian.py][<module>][127][这里是第 0页的第3条url    http://jobs.zhaopin.com/CC532331623J00047872612.htm]
