[ERROR][2018-06-20 10:23:30,611][脚本之家.py][get_page_source][20][unknown url type: 'None']
[DEBUG][2018-06-20 10:23:30,611][脚本之家.py][get_page_source][21][路由错误]
[ERROR][2018-06-20 10:24:30,461][脚本之家.py][get_page_source][20][unknown url type: 'None']
[DEBUG][2018-06-20 10:24:30,461][脚本之家.py][get_page_source][21][参数不正确， 路由错误]
[DEBUG][2018-06-20 10:46:31,843][脚本之家.py][<module>][62][page0页https://www.jb51.net/list/list_6_1.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/140213.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/138516.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/138235.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/138152.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/137178.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/136640.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/136639.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/136323.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/136061.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/135783.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/134650.htm]
[DEBUG][2018-06-20 10:46:31,942][脚本之家.py][<module>][65][https://www.jb51.net/article/133666.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/133011.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/132945.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/131947.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/131893.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/129582.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/128181.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/127903.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/127871.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/126943.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/126872.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/126866.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/126380.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/124041.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/123865.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/123168.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/123151.htm]
[DEBUG][2018-06-20 10:46:31,943][脚本之家.py][<module>][65][https://www.jb51.net/article/121938.htm]
[DEBUG][2018-06-20 10:46:31,944][脚本之家.py][<module>][65][https://www.jb51.net/article/120770.htm]
[DEBUG][2018-06-20 10:46:31,944][脚本之家.py][<module>][65][https://www.jb51.net/article/120203.htm]
